Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Felodipine,Dihydropyridine CCB,Hypertension,Tablet (ER),5 mg,Oral,Peripheral edema,headache,Strong CYP3A4 inhibitors (eg ketoconazole) can significantly increase levels Can cause peripheral edema and gingival hyperplasia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fenofibrate,Fibrate,Hypertriglyceridemia,Tablet,145 mg,Oral,Nausea,rash,Can potentiate the effects of warfarin increasing INR Can cause cholelithiasis and myopathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fentanyl,Opioid Agonist,Pain management,Patch,25 mcg/hr,Transdermal,Constipation,nausea,CNS depressants including alcohol and benzodiazepines increase sedation risk Life-threatening respiratory depression may occur.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Ferrous Sulfate,Iron Supplement,Iron deficiency anemia,Tablet,325 mg,Oral,Constipation,nausea,Antacids and tetracyclines decrease absorption Can cause GI irritation and constipation.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,No prescription required
Fesoterodine,Anticholinergic,Overactive bladder,Tablet,4 mg,Oral,Dry mouth,constipation,Strong CYP3A4 inhibitors may increase levels Can cause urinary retention and blurred vision.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fexofenadine,Antihistamine,Allergic rhinitis,Tablet,180 mg,Oral,urticaria,Headache,Aluminum and magnesium-containing antacids decrease absorption Rarely may cause headache or drowsiness.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Finasteride,5-alpha Reductase Inhibitor,BPH,Tablet,5 mg,Oral,male pattern hair loss,Decreased libido,No significant drug interactions Pregnant women should not handle crushed tablets due to risk of fetal abnormality.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Flecainide,Antiarrhythmic (Class Ic),Ventricular arrhythmias,Tablet,100 mg,Oral,atrial fibrillation,Dizziness,Other drugs that prolong the QT interval increase risk of proarrhythmia Can cause new or worsened arrhythmias.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluconazole,Azole Antifungal,Fungal infections,Tablet,150 mg,Oral,Headache,nausea,Inhibits CYP2C9 and CYP3A4 increasing levels of many drugs (eg warfarin phenytoin) Can cause QT prolongation and subsequent arrhythmias.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Fludarabine,Antimetabolite,Chronic lymphocytic leukemia (CLL),Tablet,50 mg,Oral,Myelosuppression,fever,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and neurotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Fludrocortisone,Corticosteroid,Adrenal insufficiency,Tablet,0.1 mg,Oral,Hyperglycemia,fluid retention,Other drugs that lower potassium may have additive effects Can cause hypertension and hypokalemia.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Flumazenil,Benzodiazepine Antagonist,Benzodiazepine overdose,Solution,0.1 mg/mL,Intravenous,Dizziness,nausea,Can precipitate acute withdrawal in patients dependent on benzodiazepines Seizures may occur especially in patients on long-term benzodiazepines.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluocinolone,Topical Corticosteroid,Inflammatory skin conditions,Solution,0.01%,Topical,Skin atrophy,burning,No significant drug interactions Systemic absorption can occur with extensive use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluocinonide,Topical Corticosteroid,Inflammatory skin conditions,Cream,0.05%,Topical,Skin atrophy,burning,No significant drug interactions Systemic absorption can occur with extensive use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluorometholone,Corticosteroid,Inflammatory eye conditions,Suspension,0.10%,Ophthalmic,Increased intraocular pressure,blurred vision,No significant drug interactions May increase intraocular pressure and cause cataract formation with prolonged use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluorouracil,Antimetabolite,Various cancers,Powder for Injection,500 mg,Intravenous,Myelosuppression,mucositis,Leucovorin enhances the toxicity and efficacy Can cause severe myelosuppression and mucositis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Fluoxetine,SSRI,Depression,Capsule,20 mg,Oral,OCD,panic disorder,MAOIs can cause serotonin syndrome and other SSRIs may have additive effects May increase risk of bleeding especially with NSAIDs or warfarin.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Fluphenazine,Typical Antipsychotic,Psychotic disorders,Tablet,5 mg,Oral,Extrapyramidal symptoms,sedation,CNS depressants may enhance sedative effects Can cause extrapyramidal symptoms and neuroleptic malignant syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Flurazepam,Benzodiazepine,Insomnia,Capsule,15 mg,Oral,Sedation,dizziness,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Flurbiprofen,NSAID,Pain,Tablet,100 mg,Oral,inflammation,osteoarthritis,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Flutamide,Antiandrogen,Prostate cancer,Capsule,125 mg,Oral,Hot flashes,loss of libido,Warfarin metabolism is inhibited increasing INR Can cause hepatotoxicity and gynecomastia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Fluticasone,Inhaled Corticosteroid,Asthma,Inhaler,110 mcg/actuation,Inhalation,COPD,Oral candidiasis,Strong CYP3A4 inhibitors like ketoconazole may increase systemic exposure Rinse mouth after inhalation to prevent oral candidiasis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fluvastatin,Statin,Hyperlipidemia,Capsule (ER),80 mg,Oral,Headache,myalgia,Can increase the effects of warfarin and other drugs metabolized by CYP2C9 Can cause myopathy and rhabdomyolysis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Fluvoxamine,SSRI,Obsessive-compulsive disorder (OCD),Tablet,100 mg,Oral,Nausea,somnolence,Strong inhibitor of CYP1A2 and CYP2C19 affecting many drugs (eg theophylline clozapine) May increase risk of bleeding especially with NSAIDs or warfarin.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Folic Acid,Vitamin,Folate deficiency,Tablet,1 mg,Oral,megaloblastic anemia,Nausea,Folate antagonists like methotrexate are inhibited Can mask the hematological signs of vitamin B12 deficiency.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,No prescription required
Formoterol,LABA,Asthma,Capsule for Inhalation,12 mcg,Inhalation,COPD,Headache,Other adrenergic drugs can have additive cardiovascular effects Can cause paradoxical bronchospasm and increase the risk of asthma-related death.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fosamprenavir,Protease Inhibitor,HIV infection,Tablet,700 mg,Oral,Rash,nausea,Induces CYP3A4 and inhibits CYP2C9 affecting many drugs Can cause severe skin reactions and hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Foscarnet,Antiviral,Cytomegalovirus (CMV) retinitis,Solution,24 mg/mL,Intravenous,Nephrotoxicity,electrolyte imbalances,Nephrotoxic drugs increase risk of renal impairment Can cause renal impairment and electrolyte imbalances.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Fosfomycin,Antibiotic,Uncomplicated UTIs,Packet,3 g,Oral,Diarrhea,nausea,Metoclopramide may decrease serum levels Generally well-tolerated with diarrhea being the most common side effect.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Fosphenytoin,Anticonvulsant,Seizures,Solution,50 mg PE/mL,Intravenous,status epilepticus,Nystagmus,Many drugs can increase or decrease phenytoin levels Can cause life-threatening dermatologic reactions like Stevens-Johnson syndrome.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Frovatriptan,5-HT1 Agonist,Migraine attacks,Tablet,2.5 mg,Oral,Dizziness,fatigue,Other 5-HT1 agonists can have additive effects Contraindicated in ischemic heart disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Fulvestrant,Estrogen Receptor Antagonist,Breast cancer,Solution,250 mg/5 mL,Intramuscular,Nausea,hot flashes,No significant drug interactions Can cause injection site reactions and nausea.,Refrigerate,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Furosemide,Loop Diuretic,Edema (heart failure,Tablet,40 mg,Oral,hepatic,renal),Other ototoxic drugs may increase risk of hearing loss NSAIDs may reduce the diuretic effect Profound diuresis and electrolyte depletion can occur.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Gabapentin,Anticonvulsant,Seizures,Tablet,600 mg,Oral,neuropathic pain,Dizziness,Antacids decrease absorption May cause somnolence dizziness and respiratory depression especially with opioids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Gadobutrol,Contrast Agent,MRI contrast,Solution,1 mmol/10 mL,Intravenous,Headache,nausea,No significant drug interactions Contraindicated in patients with known gadolinium sensitivity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ganciclovir,Antiviral,Cytomegalovirus (CMV) infections,Capsule,500 mg,Oral,Myelosuppression,fever,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and mutagenesis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Gefitinib,Kinase Inhibitor,Non-small cell lung cancer (NSCLC),Tablet,250 mg,Oral,Diarrhea,rash,Strong CYP3A4 inducers may decrease efficacy Can cause interstitial lung disease and diarrhea.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Gemcitabine,Antimetabolite,Pancreatic cancer,Powder for Injection,200 mg,Intravenous,other cancers,Myelosuppression,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and hemolytic uremic syndrome.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Gemfibrozil,Fibrate,Hypertriglyceridemia,Tablet,600 mg,Oral,Dyspepsia,abdominal pain,Potentiates the effects of warfarin and increases risk of myopathy with statins Can cause cholelithiasis and myopathy.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Gentamicin,Aminoglycoside Antibiotic,Bacterial infections,Ointment,0.10%,Ophthalmic,Nephrotoxicity,ototoxicity,Other nephrotoxic or ototoxic drugs increase risk of toxicity Monitor peak and trough levels to minimize risk of nephrotoxicity and ototoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Aminoglycoside risk of ototoxicity),Prescription
Glatiramer,Immunomodulator,Multiple sclerosis,Solution,20 mg/mL,Subcutaneous,Injection site reactions,flushing,No significant drug reactions Can cause immediate post-injection reaction (flushing chest pain palpitations).,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
